id,historical_games,next_game
747,1949 4253 3738 1 825,125
749,1 499 130 121 167 63 3 25,25
751,5 169 593 253 273 310 2852 1518 900 675 18 18 37 97 8,185
755,176 838 2124 70 56 23 4 2171 133 99 1507,98
758,354 162 115 2 171 6982 300 3607 113 3 50 11 22 6,6
760,248 5 470 679 284 53 44 204,102
762,39 146 1433 4 18 18,714
766,32 137 43 398 96 1773 1003 2040 23 1783 17 6 6 254 1392 630 321 166,104
770,1 8 4929 2268 104 3505 5,16
774,177 726 374 95 308,156
776,47 884 103 18 18 274,98
780,1171 1183 1647 3 34,244
783,186 176 286 35 60 224 18,18
789,1272 431 474 6662 662 2354 121 45 61 1323 988 25 25,163
794,7 9 10 111 138,93
799,28 119 1283 16 48 12,1
802,4547 5231 59 45 104 4222 40 452 77 1249 845 453 67 1188,206
806,1195 69 2947 119 3927 5778 8 96 7012 92 92 95,5
807,8 30 49 4 436 1493,171
809,353 246 1 463 279 3 308 2278 235,100
810,442 106 319 28 99,113
811,268 54 97 180 225 4563,5
812,16 1 22 582 304 129 285 12 1045 21 11,20
816,1 143 20 132 549 15 106,61
823,141 340 210 37 620 178 568 137 483 560 344,2
825,11 6154 1112 690 1121 1159,2
831,5 771 1744 297 17 1219 907 108,68
832,498 39 3156 739 3194,1
834,73 371 64 17 650 621 22 910,9
835,1008 3792 2245 1131 1820 66 629 4747 503,57
837,7 9 27 13 10 354 81,100
838,16 2136 1401 296 125,120
841,31 7632 19 284 165 1 16,38
844,3528 461 2090 2795 2873,214
846,36 141 1 11 1617,240
851,3116 177 2118 14 14 335 394 2122 70 55 95 147 701 7182 205 32 1349 134 712 5888 5203 1160 6172 920 2082 7722,62
852,4 253 99 287 38 424,76
855,77 1595 325 11 12 1 2 48 171,81
857,7 10 72 56 2883 400 1365 252 98 123 2249 619 416 1015,40
858,64 3812 172 282 187 17 33 160 35 558,237
861,105 1715 85 5 37 46 507 643 84 96 586 3172 22 21 323 745 447 44 1206 39 714 34,65
864,14 923 1331 3019 1042 202 2894,387
865,19 180 32 2944 8 6899 56 239,137
868,1 12 19 1338 2,24
869,53 140 111 786 80,84
871,1 2276 14 14 371 18 18 42,23
873,13 10 7 9 5963,213
874,262 721 58 93 2 909 362 3964,59
877,82 5 378 4 6,6
882,2 3 4631 3201 3570 61 2061 1168 7794 12 793 48,246
883,1 4038 77 2726 11 1751 120,81
885,5 540 39 49 1161 107 537 47,144
887,54 155 51 16 21 298 1450 1348,81
891,5 175 789 2 143 53 4340 31,61
894,4 3 350 805 382 394,105
895,60 3 11 151 21 2,91
897,20 1970 1590 1 1540 587 97 588 1583 6 6 262 40,129
903,16 2 109 119 54 3274 30 582 152 1117,50
904,92 92 957 697 1,147
906,4670 2266 303 762 4664 7304 288 4197 5121 387 1537 757 236 6062 317 1383 378 160,480
912,68 1410 14 187 3,45
913,216 132 1018 546 197 4649 211 378 106 660 2016 79,401
920,7 9 27 13 10 2,42
927,20 24 52 1 111 566,4
928,9 7 114 10 2636 435 834,154
929,354 67 28 2569 2681 25 25 215,255
933,90 6109 913 1021 1636 41,314
934,2477 203 56 2973 522,106
944,5911 8 941 827 1454 134 1199 648,5
945,7 9 10 13 31 99,26
948,1215 185 181 335 4799 2612 2070 663 7232 255,134
951,259 36 4432 32 51 30 35 579 56 139 45 204 775,46
954,96 2806 3672 84 1887 46 2589 1768 2098 2560 3551 35 83,26
956,45 14 14 23 25 25 2 6,6
957,98 119 252 62 4299 557 1265,129
959,7 9 13 1 11 106,2
960,6282 8 497 4534 1951 30 664 268,416
962,3 146 834 12 500,5
963,346 14 64 3877 1653 85 165 6158 187 995 729 1441 3487 4821 2018 674 66,23
964,898 5719 775 445 139 383 72 620 2824 570 1614 1989 431 119 5 45,22
968,1 2 135 118 86,105
971,341 3462 3584 2867 7328 2 2649 3255 92,92
974,175 1030 1468 181 164 636 440 6075 485 571 469 7105 588 462 678 343 1812 1390 5 287 1820 619 675,341
975,16 2 488 307 391 51 19 5,28
976,19 895 147 1804 44 2230 66,184
981,2143 383 2651 402 163 3466 64 343 1147 4455 17 6 6,174
987,6683 241 201 3223 124 35 34,105
989,2 1 266 200 50 58 3,20
994,51 6708 1393 4723 28 175 617 180 854 147 4535 38 116 737 364 1059 402 94,10
997,2 1 31 1103 749 11 1599 285 290 17 125,68
998,371 8 70 14 14 6 6 236 184 278 387 159 3862 23 375 206,124
1003,13 142 19 4 599 8 1 84 1300,103
1004,1 1183 374 3 15 56 5436 1647 113 1002 183 943 136,96
1008,446 859 217 4382 37 1048,213
1009,289 7 9 27 13,10
1010,680 58 1 20 21 8 63 29 1391,3
1011,852 4 15 181 3073 198 234 1482,8
1012,179 2 75 20 2861 4772 74,3
1013,881 107 42 266 36 83 497 1371 339,22
1014,1 292 671 4401 3 26 86 3438,271
1017,20 56 63 205 302 152 5 3483 3449,55
1018,150 38 936 4941 2,17
1021,2183 84 1 1585 177 657 46 170 3 304 16,263
1022,1 1873 86 11 20 200 410 285 1121,91
1024,170 989 167 256 132 272,209
1025,7 9 27 13 10 93,1
1027,236 774 733 1001 172 163 6 204 251,14
1028,20 289 7800 36 392 556 4120 196 1721 1142 47 983 247 357 4325 193 1871 360 299 3674 1498 420 6,6
1031,5062 1578 51 4897 750 2389 1498 1743 2483 1239 4704 2941 3994 366 811 282 249 2943 5037 1368 2258 3083 2020 227,17
1032,7 2 67 128 25,25
1037,1 427 37 626 6930 859 220 168 871 34,239
1052,5155 1 22 64 273 609 278 261 420 184,260
1053,7 9 27 13 10 1,225
1054,98 46 3026 301 855 80 932 1480 3838 4923 3234 7742 3044 5692 67 422 40 51 232 662,56
1055,178 99 19 1052 3397 511,93
1056,60 3360 1152 1158 32 8 46 269 671 1673 53 349 3485 162 25 25 737 181 707 1185 1681 1121 722 233 201 369 634,542
1059,7 9 10 27 13 5 143 870 566 14,14
1062,39 17 467 1767 4446 708,131
1066,57 40 49 8 142 14 1049 106 15,136
1067,103 29 5 296 19 243 175 126 53,125
1072,2 11 3 314 83 216,4
1076,5528 757 1735 162 102 527 34 169 201 1608 575 718 274 64 4104 3418 585 135 4347,8
1077,6394 589 91 628 558 5 127 4417 8 666 136,51
1078,11 4810 28 2 148 606 4304 1 354 646,151
1079,1664 4452 70 184 8 195 402 35 1955 87,276
1081,320 5 1 42 11,304
1083,16 18 18 37 1,36
1085,7 9 13 10 567 76 1058 813 7157 1539 912 164 69 1726 1354 165 1342 482 819 20 4555 1929,714
1092,7 9 13 10 376,102
1094,105 64 46 335 99 808 19 509 74 21 84 1076 23,1
1095,17 54 90 3165 6507 326 74 266 42 52 38 1101 2,103
1100,2360 22 1833 133 305 271 42 776 4093 166 340 731 6729 1903 1060 19 80 782 304,228
1103,17 41 76 1 106,502
1105,4 39 43 158 139 5 445 1227 30 180 51 56 34 217 666,38
1108,599 7199 4676 6924 4,229
1111,471 5 463 72 1748,70
1115,1 131 3 162 224 15 25 25 120 228 33 1367 794 442,56
1116,1412 514 3520 998 145 1443 213 1187 1560,109
1117,37 2075 3577 2881 199 1276 2321,41
1122,8 3460 7327 31 28 20 83 5505 753 2197 5,298
1125,1309 2463 2489 1730 3830 2038,523
1128,2352 1310 773 1217 57 652 492,148
1130,3512 34 139 5 126 295 142 588 17 336 141,198
1134,16 12 11 89 4 2193,153
1135,141 302 4345 128 38 1009,216
1138,53 1036 974 102 67 6788 1546,79
1143,54 1428 39 111 1960 432 1259 144 1332 46,217
1149,60 527 2439 3869 34,30
1152,1 1150 419 776 362 89 982 31,75
1154,42 2 148 785 531,21
1156,2 148 233 164 4657 1011 2513,49
1157,298 481 35 156 124 76 1522 198 5053 1188 66 128 8 202 258 602 5967 916 2068 49,219
1159,4 515 1327 211 106,36
1161,702 20 21 12 42,39
1167,1508 1461 4530 2074 2607 1061 4042 4493 1384 831 375 865 4497 227 5973 475 1977 194,194
1168,1605 53 102 208 599 423 132 216 186 7642,204
1170,127 197 281 41 245 15,464
1171,77 4 58 2435 6469 301 162,51
1173,15 1282 180 463 460 183,28
1175,139 620 2234 11 7744 2 4500,21
1187,52 249 73 457 231 74 832,157
1196,1693 160 276 990 199 1001 172 373 431 356 809 202 602 802,17
1205,763 20 2 24 155 470,21
1211,1 4853 1853 1657 31,208
1213,7 9 27 13 10,2
1214,5547 139 199 237 1509 1428 660 874 2722 3381 220 3537 185 523 620 976 5938 175 245 1687,8
1218,992 4012 526 4058 1626,79
1219,608 4711 283 3 1 1321,39
1221,7 9 114 10 203 2095 1,3
1225,114 1259 1266 1853 165 12 212,117
1228,168 145 998 640 529,5
1232,1528 174 1524 127 1027 400 192 111,89
1234,67 120 4414 11 341 46 30 277 1100 3,113
1237,1244 1196 77 409 132 91,281
1240,7 9 13 10 54 91 300 962,163
1241,360 297 159 70 6,6
1242,11 12 3 129 519 1268,962
1244,3405 29 32 57 96 256 1054 179 242 70 777 791 6490 35 185 1102 415 7696 247 1462 295 282 2764 3068 370,95
1247,628 212 1558 1208 1106 1053 563 309,57
1249,11 587 661 1347 41,155
1250,3616 34 366 57 1131 23 1625 2622 17 752 3193 1087 66 454,43
1254,6674 2908 7317 4206 268,215
1259,3 374 385 577 442 73,40
1268,85 82 12 4 38,3
1274,7 9 10 806 18,18
1278,70 1634 1415 441 1 17 715 609 882 94,34
1279,112 200 746 3 11 825 792 140 1590 12 2 26,40
1282,1 329 220 54 157 97 70 156 1507 292 5 900,172
1284,989 145 8 103 2883 1864 1824 288 1146 1281 2636 45 1259 1501 603 23 840,480
1286,16 1 3 335 2530 292 1312 508 84 74 164 166 354 1722,68
1290,2 12 941 75 16 11 63,1
1298,16 12 31 810 2 304 543 74 46 1,50
1305,22 36 4 692 152 1240 963 89,93
1309,1142 2400 1629 75 3492 5405 61 194 194,101
1321,39 625 116 80 79 49 28,197
1322,892 4660 3735 424 1768 2774 3839 545 24 189 1138,298
1323,149 136 175 1121 233 108 353 3188 1337 106 2740 369 329,131
1326,23 243 214 450 8 17 260 1191 1865 4098 170 184 122,122
1327,2 15 71 71 12,179
1328,284 84 1695 2765 128 1364,160
1332,82 45 4986 1157 236,5
1334,7 539 265 69 2 19 89 296 1090,187
1336,33 8 3651 3997 7358 7763 4877 116 117 3 149 34 57 1432 15 32 96 180 30 938 1322 373 198 282 65,160
1338,507 17 51 84 329 1198 805 53 102 1 43 136 34 215 5692 83 399,112
1344,20 66 1773 62 4073 6 6 23,124
1347,90 137 1455 5357 35 242 138 96 4 17 51 675 129 280 46 5264 707 1456 1110 5192 3102 1420 5639,401
1350,19 168 248 54 440,61
1351,15 23 705 113 400 7339,25
1352,96 1192 172 459 1061 357 1836 371 17,249
1357,845 156 375 1087 1005,35
1364,45 195 263 1173 254 51 1711 455 170 109,26
1365,7 9 27 13 10 53,102
1371,175 834 32 874 2498 260 238 57 299 628 645 96 258,282
1373,10 7 114 2 1518,523
1374,294 277 47 1 1042 46 759 30 7,108
1377,90 180 1244 1644 41 4807 310 44 5 2827,39
1378,243 34 1 1097 214,17
1379,6372 33 34 247 349 783 5,17
1380,173 50 2247 2437 7685 16,1
1381,207 289 145 7242 4 212 48,36
1386,368 4343 20 747 82 136 134 624 5468 154 19,39
1388,20 1264 26 104 100 129 78 200 48 3 11,1
1392,3633 786 2440 38 204 3728 1243 1329 863 845 2108 97 73 1425 641 65 8 52 102 17 375 157 95 1620,43
1394,2858 47 1163 2 1189 1599 115 354,159
1395,1576 34 101 1760 227 17 1227 287 336 936 176 147,32
1398,1119 1885 406 2488 3,105
1402,645 226 1521 1918 1674 86 2104 153 5776 1873 12 35 266,36
1406,53 706 34 49 102 726 204 221,25
1409,17 886 46 129 1885,161
1410,4 55 51 557 903 2331 84 68 742 486,149
1412,5562 1 622 94 43 51 7264 6447 3245 1506 349 1982 710 658 446 280 127 263 1331 22 4 69 476 377 120,75
1418,17 14 14 884 145,8
1420,583 16 1 768 940,12
1429,250 1989 33 155 274 4861 249 572 6,6
1432,207 139 142 101 17 112 39,173
1434,2791 2 7466 1149 15 1229 1354 639 7603 56 554 121 119 769 183 1367 1146 227 3388,269
1436,9 10 7 27 13 1414,192
1438,148 83 896 313 611 238 398 32,86
1446,82 134 719 747 28 294,174
1447,24 745 518 19 1149 2218,4
1449,217 636 21 74 22 24 2409,129
1451,60 24 11 429 28 324 21 55 145 427 474 120 274 1610 672 72,4
1455,54 4861 18 18 8 185 39 112 168 196 2351 109 162 2972 470 804 31 407 714 1182 208 36 816 25 25 49 80,79
1461,57 417 1069 87 609,249
1464,17 784 1332 19 93 146 2639 3228 11 1,12
1465,11 82 4894 2 50 28,171
1468,1683 1585 118 30 98 25 25 95 193 828,107
1469,144 26 415 1063 3,205
1473,17 86 407 79 281 634 49 24 4512 787 321 219 774 261 14 1745 3787,6
1475,77 21 11 3 8 72,113
1477,12 3 71 71 7172,232
1481,22 54 2 858 412 20 83 6 6 14 14 75 568 2270 97 440,44
1491,1 11 6 6 3,44
1492,367 273 2798 5186 316,157
1503,51 3 471 608 240,191
1506,2 906 158 44 710 1279 132 5276 167 39 3631,165
1509,298 1467 1006 351 125,342
1516,2189 41 107 1909 1447,143
1517,7 9 13 10 11 130 20 1 16 22 86,5
1520,684 1996 389 163 1008 1069 1476 1474,43
1525,7 9 27 13 10,93
1526,115 723 183 102 1438 735,105
1528,2 195 182 1547 108 682,69
1529,20 5 28 189 428,56
1531,32 4119 43 51 1466 57 140,210
1533,248 778 307 5744 296 204 53,102
1538,336 286 21 455 571 30 203 59,298
1545,7 9 27 13 10 289 2,59
1546,240 20 7660 83 9 1287 32 4 8,76
1551,7 9 114 10 53 28 1505 543 785,41
1552,1090 39 398 115 98 1161 1697 251 582 410 1997 40 946 932 1033 529 2425 2662 4222 312 814 348 452 517,100
1558,97 28 310 1842 1375,19
1564,33 1375 409 112 305 7299 141,97
1565,110 110 216 607 966 526,36
1566,284 2728 1183 2232 15 5,55
1577,8 21 4952 585 74,220
1581,70 349 8 73 2710 68 335 21 803 2386 534 7027 6000 3 4434 675 5388 4 2534 1532 472 15 1791,26
1585,3 22 34 26 56 37 118 105,136
1586,7 9 27 13 10 278,160
1588,5 1660 426 3124 1471 1181 2454 5573 1114 2155 261 17,76
1589,332 413 211 732 1 49 1135 3 11 79 281 29,118
1590,35 160 65 96 56 72,32
1604,39 429 148 110 110 60 399 1207 1441 2528,53
1606,1052 233 1058 1025 613,181
1608,251 589 1760 85 567,182
1612,827 70 23 6 6,464
1613,270 34 15 5610 32,299
1614,1 208 53 324 30 393 213 1027 298 485 1055 831 75 204 1534 1071 1479 279 688 12,4
1618,168 5 215 67 60 33,101
1620,466 26 309 42 105 294 2082 128 38,67
1621,46 3958 1528 2573 3618 6 6 6329 38 41 831 389 107 2 2328 334 196 2000,53
1623,132 1 73 23 342 739 440 829 348,182
1628,1211 152 153 12 4541,8
1629,2 31 101 485 1142 710 7438 209 1042 82,272
1631,1563 5 29 2027 6791,93
1633,68 94 308 908 21 26,199
1639,219 254 505 5086 159 839,170
1650,1 19 270 130 16 29 102,204
1652,16 1 7 98 2128 473 785,101
1655,2231 8 1683 280 5 85,48
1657,14 305 195 57 159 73,124
1658,1 16 26 40 425 59 78 370 209 306 274 1611 816,37
1661,44 174 54 1279 89 39 379 2403 468 80 1335 2903,216
1665,24 53 102 140 80 126 6 6 124 4104 2812,296
1666,1 4 8 84 583 298 12 508 48,21
1668,44 2027 81 502 106 165,985
1669,657 702 3437 33 462 34 4 432 175,85
1671,47 37 7689 56 765 149 946 83 161 21 98 59,78
